aid1,aid2,PublicationId,Year
308,352,2613267033,2010
276,611,2495200487,2010
276,785,2495200487,2010
276,795,2495200487,2010
276,804,2495200487,2010
452,732,2612651932,2010
423,732,2612651932,2010
588,611,2495200487,2010
423,452,2612651932,2010
119,501,2164695065,2010
119,508,2164695065,2010
119,698,2164695065,2010
154,243,2164695065,2010
3,220,3022304875,2010
308,431,2613267033,2010
16,795,2495200487,2010
179,981,3022304875,2010
452,732,2612274471,2010
14,423,2612651932,2010
14,452,2612651932,2010
14,732,2612651932,2010
423,732,2612274471,2010
704,814,2562766371,2011
648,651,2565771448,2011
142,296,2062878466,2011
290,594,2613217466,2011
142,321,2062878466,2011
296,321,2062878466,2011
136,713,2613063338,2011
651,777,2565771448,2011
14,136,2613063338,2011
697,814,2562766371,2011
697,704,2562766371,2011
201,506,2053340132,2011
648,656,2565771448,2011
189,506,2053340132,2011
14,713,2613063338,2011
290,817,2613217466,2011
580,697,2562766371,2011
648,738,2565771448,2011
648,777,2565771448,2011
648,805,2565771448,2011
134,631,2054901346,2011
738,805,2565771448,2011
738,777,2565771448,2011
656,805,2565771448,2011
656,777,2565771448,2011
656,738,2565771448,2011
106,694,1766882528,2011
651,805,2565771448,2011
113,526,2613435647,2011
113,135,2613435647,2011
189,201,2053340132,2011
594,817,2613217466,2011
396,697,2562766371,2011
638,641,2556526409,2011
128,168,1545659942,2011
396,814,2562766371,2011
464,465,2562766371,2011
464,580,2562766371,2011
464,697,2562766371,2011
464,704,2562766371,2011
464,814,2562766371,2011
202,816,1548444287,2011
465,580,2562766371,2011
465,704,2562766371,2011
465,814,2562766371,2011
585,707,2609764586,2011
76,351,383135094,2011
179,773,3089362634,2011
651,738,2565771448,2011
465,697,2562766371,2011
106,467,1766882528,2011
428,749,1545659942,2011
344,428,1545659942,2011
128,207,1545659942,2011
128,344,1545659942,2011
128,428,1545659942,2011
128,749,1545659942,2011
168,207,1545659942,2011
168,344,1545659942,2011
344,749,1545659942,2011
168,428,1545659942,2011
207,344,1545659942,2011
207,428,1545659942,2011
207,749,1545659942,2011
433,707,2609764586,2011
396,704,2562766371,2011
449,454,2049944762,2011
168,749,1545659942,2011
651,656,2565771448,2011
116,249,2040089115,2011
580,814,2562766371,2011
366,814,2562766371,2011
396,464,2562766371,2011
396,465,2562766371,2011
396,580,2562766371,2011
249,792,2040089115,2011
684,792,2040089115,2011
366,704,2562766371,2011
149,488,2750644320,2011
433,585,2609764586,2011
23,449,1509627195,2011
694,759,1766882528,2011
467,759,1766882528,2011
467,694,1766882528,2011
181,383,1529491534,2011
149,211,2750644320,2011
226,433,2609764586,2011
366,697,2562766371,2011
226,585,2609764586,2011
367,585,2609764586,2011
366,465,2562766371,2011
249,684,2040089115,2011
116,792,2040089115,2011
116,684,2040089115,2011
192,1000,3089362634,2011
366,580,2562766371,2011
367,707,2609764586,2011
383,830,1529491534,2011
149,590,2750644320,2011
211,488,2750644320,2011
211,590,2750644320,2011
488,590,2750644320,2011
226,707,2609764586,2011
367,433,2609764586,2011
135,526,2613435647,2011
978,980,2988224507,2011
366,464,2562766371,2011
795,804,2489089210,2011
795,982,2489089210,2011
804,982,2489089210,2011
295,799,2110213069,2011
265,799,2110213069,2011
265,295,2110213069,2011
785,982,2489089210,2011
35,185,1881854520,2011
188,433,2609764586,2011
188,585,2609764586,2011
188,707,2609764586,2011
994,995,3008770717,2011
181,830,1529491534,2011
106,759,1766882528,2011
777,805,2565771448,2011
226,367,2609764586,2011
785,804,2489089210,2011
785,795,2489089210,2011
170,366,2562766371,2011
170,396,2562766371,2011
170,464,2562766371,2011
170,465,2562766371,2011
170,580,2562766371,2011
170,697,2562766371,2011
242,725,2999037481,2011
170,704,2562766371,2011
276,982,2489089210,2011
35,471,1881854520,2011
35,449,1881854520,2011
35,382,1881854520,2011
170,814,2562766371,2011
366,396,2562766371,2011
276,804,2489089210,2011
192,1016,3089362634,2011
580,704,2562766371,2011
192,1041,3089362634,2011
471,655,1881854520,2011
150,255,2132550945,2011
150,568,2132550945,2011
150,657,2132550945,2011
255,374,2132550945,2011
255,657,2132550945,2011
374,568,2132550945,2011
374,657,2132550945,2011
568,657,2132550945,2011
199,244,2133448733,2011
16,262,2489089210,2011
179,536,3089362634,2011
484,590,2395472943,2011
179,1000,3089362634,2011
572,815,1990711990,2011
40,69,1995591245,2011
40,291,1995591245,2011
338,736,1990711990,2011
338,815,1990711990,2011
338,1028,1990711990,2011
566,572,1990711990,2011
566,731,1990711990,2011
566,736,1990711990,2011
16,276,2489089210,2011
566,1028,1990711990,2011
572,731,1990711990,2011
572,736,1990711990,2011
291,533,1995591245,2011
69,533,1995591245,2011
69,291,1995591245,2011
40,533,1995591245,2011
488,590,2260084776,2011
3,192,3089362634,2011
16,785,2489089210,2011
449,655,1881854520,2011
185,449,1881854520,2011
185,471,1881854520,2011
185,655,1881854520,2011
3,1000,3089362634,2011
382,449,1881854520,2011
382,471,1881854520,2011
262,982,2489089210,2011
276,795,2489089210,2011
188,226,2609764586,2011
188,367,2609764586,2011
3,536,3089362634,2011
3,220,3089362634,2011
3,1016,3089362634,2011
192,1017,3089362634,2011
276,785,2489089210,2011
338,731,1990711990,2011
185,382,1881854520,2011
3,1041,3089362634,2011
262,804,2489089210,2011
262,795,2489089210,2011
262,785,2489089210,2011
179,220,3089362634,2011
262,276,2489089210,2011
16,982,2489089210,2011
179,192,3089362634,2011
16,804,2489089210,2011
382,655,1881854520,2011
3,179,3089362634,2011
255,568,2132550945,2011
449,471,1881854520,2011
3,773,3089362634,2011
3,1017,3089362634,2011
16,795,2489089210,2011
338,572,1990711990,2011
150,374,2132550945,2011
566,815,1990711990,2011
53,731,1990711990,2011
149,211,2395472943,2011
116,394,2140000731,2011
179,1016,3089362634,2011
179,1017,3089362634,2011
53,177,1990711990,2011
192,773,3089362634,2011
134,158,2401781608,2011
74,116,2140000731,2011
74,368,2140000731,2011
74,394,2140000731,2011
116,368,2140000731,2011
368,394,2140000731,2011
149,484,2395472943,2011
35,655,1881854520,2011
211,590,2395472943,2011
177,572,1990711990,2011
177,338,1990711990,2011
220,536,3089362634,2011
220,773,3089362634,2011
338,566,1990711990,2011
220,1016,3089362634,2011
220,1017,3089362634,2011
220,1041,3089362634,2011
177,566,1990711990,2011
536,773,3089362634,2011
536,1016,3089362634,2011
536,1017,3089362634,2011
242,725,2330681858,2011
53,736,1990711990,2011
53,815,1990711990,2011
53,1028,1990711990,2011
536,1000,3089362634,2011
211,484,2395472943,2011
